Device : ,PAX1000IR1
Serial Number : ,M00754645
Firmware Version : ,1.0.13
Software Version : ,1.7.2117.219
Wavelength [nm] : ,767,POV from the detector
Basic Sample Rate [Hz] : ,60
Operating Mode : ,1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] , Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] , Warning
2026-05-14 13:27:45.24,0.00:00:00:122,-1.00,-0.01,0.05,37.75,-7.098,-0.07143,0.3391,-89.71,1.37,18.82,0.90,18.80,37.75,7.106,30.64,15.769,8.516,14.863,0.00,101.89,
2026-05-14 13:27:45.35,0.00:00:00:234,-1.00,0.00,0.05,37.74,-7.117,-0.0311,0.3333,-89.87,1.34,18.88,0.88,18.86,37.74,7.124,30.62,15.768,8.528,14.860,0.00,95.33,
2026-05-14 13:27:45.48,0.00:00:00:360,-1.00,-0.01,0.05,37.77,-7.115,-0.04358,0.3394,-89.82,1.37,18.86,0.90,18.84,37.77,7.123,30.64,15.771,8.527,14.863,0.00,97.32,
2026-05-14 13:27:45.58,0.00:00:00:455,-1.00,-0.01,0.05,37.75,-7.112,-0.0666,0.3306,-89.73,1.33,18.86,0.88,18.84,37.75,7.12,30.63,15.769,8.525,14.862,0.00,101.39,
2026-05-14 13:27:45.69,0.00:00:00:567,-1.00,-0.01,0.05,37.75,-7.099,-0.07628,0.3404,-89.69,1.37,18.83,0.90,18.81,37.75,7.108,30.64,15.769,8.517,14.864,0.00,102.63,
2026-05-14 13:27:45.82,0.00:00:00:696,-1.00,-0.01,0.05,37.77,-7.071,-0.08081,0.3329,-89.67,1.35,18.74,0.88,18.72,37.77,7.079,30.69,15.772,8.500,14.870,0.00,103.64,
2026-05-14 13:27:45.94,0.00:00:00:822,-1.00,-0.01,0.05,37.79,-7.028,-0.06501,0.335,-89.74,1.36,18.62,0.89,18.60,37.79,7.037,30.75,15.773,8.474,14.878,0.00,100.98,
2026-05-14 13:27:46.04,0.00:00:00:918,-1.00,-0.01,0.05,37.77,-7.002,-0.04064,0.3309,-89.83,1.35,18.56,0.88,18.54,37.77,7.01,30.76,15.772,8.457,14.880,0.00,97.00,
2026-05-14 13:27:46.18,0.00:00:01:061,-1.00,0.00,0.05,37.76,-7,-0.01564,0.3367,-89.94,1.38,18.56,0.89,18.54,37.76,7.008,30.75,15.771,8.456,14.879,0.00,92.66,
2026-05-14 13:27:46.30,0.00:00:01:177,-1.00,-0.01,0.05,37.78,-6.97,-0.04375,0.333,-89.82,1.37,18.47,0.88,18.45,37.78,6.978,30.8,15.773,8.437,14.886,0.00,97.48,
2026-05-14 13:27:46.42,0.00:00:01:305,-1.00,-0.01,0.05,37.77,-6.979,-0.06561,0.3356,-89.73,1.38,18.50,0.89,18.48,37.77,6.988,30.78,15.772,8.443,14.883,0.00,101.06,
2026-05-14 13:27:46.55,0.00:00:01:432,-1.00,-0.01,0.05,37.73,-6.772,-0.0844,0.3086,-89.64,1.30,17.97,0.82,17.95,37.73,6.779,30.95,15.767,8.312,14.907,0.00,105.30,
2026-05-14 13:27:46.66,0.00:00:01:543,-1.00,-0.01,0.05,36.52,-6.324,-0.03878,0.3042,-89.82,1.38,17.34,0.83,17.32,36.52,6.332,30.18,15.625,8.015,14.798,0.00,97.27,
2026-05-14 13:27:46.79,0.00:00:01:671,-1.00,0.00,0.05,36.63,-6.385,0.0158,0.3311,89.93,1.48,17.45,0.90,17.43,36.63,6.393,30.24,15.639,8.057,14.806,0.00,87.27,
2026-05-14 13:27:46.90,0.00:00:01:782,-1.00,0.00,0.05,37.41,-6.851,-0.02185,0.3251,-89.91,1.36,18.33,0.87,18.31,37.41,6.859,30.55,15.730,8.363,14.851,0.00,93.84,
2026-05-14 13:27:47.01,0.00:00:01:894,-1.00,-0.01,0.05,37.41,-7.01,-0.05868,0.3245,-89.76,1.33,18.76,0.87,18.74,37.41,7.018,30.4,15.730,8.462,14.828,0.00,100.25,
2026-05-14 13:27:47.16,0.00:00:02:036,-1.00,-0.01,0.04,37.1,-7.312,-0.09952,0.3214,-89.61,1.26,19.73,0.87,19.71,37.1,7.319,29.78,15.694,8.645,14.740,0.00,107.20,
2026-05-14 13:27:47.25,0.00:00:02:132,-1.00,-0.01,0.04,36.12,-7.767,-0.106,0.3382,-89.61,1.25,21.52,0.94,21.50,36.12,7.775,28.35,15.578,8.907,14.525,0.00,107.41,
2026-05-14 13:27:47.35,0.00:00:02:227,-1.00,-0.01,0.05,35.34,-8.074,-0.04611,0.4155,-89.84,1.47,22.88,1.18,22.85,35.34,8.085,27.25,15.482,9.077,14.354,0.00,96.33,
2026-05-14 13:27:47.47,0.00:00:02:355,-1.00,-0.01,0.05,34.13,-8.447,-0.09963,0.4072,-89.66,1.38,24.78,1.19,24.75,34.13,8.457,25.67,15.331,9.272,14.094,0.00,103.75,
