Device : ,PAX1000IR1
Serial Number : ,M00754645
Firmware Version : ,1.0.13
Software Version : ,1.7.2117.219
Wavelength [nm] : ,767,POV from the detector
Basic Sample Rate [Hz] : ,60
Operating Mode : ,1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] , Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] , Warning
2026-05-14 13:32:40.14,0.00:00:00:121,-1.00,-0.05,-0.07,2.045,-2.022,-0.09859,-0.143,-88.60,-2.02,99.28,7.00,99.03,2.045,2.03,0.01476,3.106,3.075,-18.308,0.00,-124.57,
2026-05-14 13:32:40.23,0.00:00:00:218,-1.00,-0.05,-0.07,2.046,-2.025,-0.09711,-0.1423,-88.63,-2.01,99.34,6.95,99.10,2.046,2.033,0.01346,3.109,3.081,-18.710,0.00,-124.31,
2026-05-14 13:32:40.37,0.00:00:00:357,-1.00,-0.05,-0.07,2.048,-2.028,-0.0947,-0.1432,-88.66,-2.02,99.35,6.99,99.10,2.048,2.035,0.01341,3.114,3.085,-18.726,0.00,-123.48,
2026-05-14 13:32:40.50,0.00:00:00:489,-1.00,-0.05,-0.07,2.048,-2.027,-0.09292,-0.1422,-88.69,-2.00,99.35,6.94,99.11,2.048,2.034,0.01333,3.113,3.085,-18.752,0.00,-123.17,
2026-05-14 13:32:40.60,0.00:00:00:589,-1.00,-0.05,-0.07,2.046,-2.026,-0.09232,-0.1426,-88.70,-2.01,99.33,6.97,99.09,2.046,2.033,0.01365,3.110,3.081,-18.650,0.00,-122.92,
2026-05-14 13:32:40.70,0.00:00:00:688,-1.00,-0.04,-0.07,2.044,-2.022,-0.0897,-0.1423,-88.73,-2.01,99.27,6.96,99.02,2.044,2.029,0.01496,3.104,3.073,-18.251,0.00,-122.23,
2026-05-14 13:32:40.80,0.00:00:00:787,-1.00,-0.04,-0.07,2.049,-2.026,-0.08834,-0.1422,-88.75,-2.01,99.20,6.94,98.96,2.049,2.033,0.01637,3.116,3.081,-17.860,0.00,-121.84,
2026-05-14 13:32:40.93,0.00:00:00:912,-1.00,-0.04,-0.07,2.048,-2.023,-0.08809,-0.1432,-88.75,-2.02,99.15,6.99,98.90,2.048,2.03,0.01738,3.113,3.076,-17.599,0.00,-121.60,
2026-05-14 13:32:41.02,0.00:00:01:009,-1.00,-0.04,-0.07,2.046,-2.024,-0.08794,-0.1421,-88.76,-2.01,99.24,6.94,99.00,2.046,2.031,0.01555,3.110,3.077,-18.084,0.00,-121.76,
2026-05-14 13:32:41.12,0.00:00:01:109,-1.00,-0.04,-0.07,2.047,-2.022,-0.08579,-0.1429,-88.79,-2.02,99.08,6.98,98.83,2.047,2.029,0.01887,3.112,3.072,-17.243,0.00,-120.98,
