Device : ,PAX1000IR1
Serial Number : ,M00754645
Firmware Version : ,1.0.13
Software Version : ,1.7.2117.219
Wavelength [nm] : ,767,POV from the detector
Basic Sample Rate [Hz] : ,60
Operating Mode : ,1 revolution for one measurement, 1024 points for FFT

Time[date hh:mm:ss] , Elapsed Time [hh:mm:ss:ms], Normalized s 1 , Normalized s 2 , Normalized s 3 , S 0 [mW], S 1 [mW], S 2 [mW], S 3 [mW], Azimuth[°] , Ellipticity[°] , DOP[%] , DOCP[%] , DOLP[%] , Power[mW] , Pol Power[mW] , Unpol Power[mW] , Power[dBm] , Pol Power[dBm] , Unpol Power[dBm] , Power-Split-Ratio , Phase Difference[°] , Warning
2026-05-14 13:34:53.13,0.00:00:00:123,-1.00,0.03,0.04,10.25,-8.678,0.224,0.3268,89.26,1.08,84.76,3.19,84.70,10.25,8.687,1.562,10.107,9.389,1.938,0.00,55.57,
2026-05-14 13:34:53.24,0.00:00:00:232,-1.00,0.03,0.04,10.26,-8.7,0.2261,0.3389,89.26,1.11,84.87,3.30,84.81,10.26,8.71,1.552,10.112,9.400,1.910,0.00,56.29,
2026-05-14 13:34:53.35,0.00:00:00:343,-1.00,0.02,0.04,10.3,-8.726,0.2173,0.3325,89.29,1.09,84.83,3.23,84.77,10.3,8.735,1.562,10.127,9.413,1.936,0.00,56.83,
2026-05-14 13:34:53.46,0.00:00:00:454,-1.00,0.03,0.04,10.34,-8.717,0.2503,0.3352,89.18,1.10,84.44,3.24,84.38,10.34,8.727,1.608,10.143,9.409,2.064,0.00,53.25,
2026-05-14 13:34:53.55,0.00:00:00:550,-1.00,0.03,0.04,10.37,-8.664,0.2513,0.3353,89.17,1.11,83.64,3.23,83.57,10.37,8.674,1.697,10.158,9.382,2.297,0.00,53.15,
2026-05-14 13:34:53.67,0.00:00:00:661,-1.00,0.02,0.04,10.35,-8.64,0.185,0.3271,89.39,1.08,83.53,3.16,83.47,10.35,8.649,1.705,10.151,9.369,2.317,0.00,60.51,
2026-05-14 13:34:53.76,0.00:00:00:757,-1.00,0.02,0.04,10.3,-8.665,0.1604,0.3279,89.47,1.08,84.24,3.18,84.18,10.3,8.673,1.623,10.127,9.382,2.102,0.00,63.93,
2026-05-14 13:34:53.89,0.00:00:00:883,-1.00,0.02,0.04,10.28,-8.695,0.2076,0.327,89.32,1.08,84.70,3.18,84.64,10.28,8.703,1.573,10.118,9.397,1.966,0.00,57.60,
2026-05-14 13:34:54.00,0.00:00:00:994,-1.00,0.03,0.04,10.27,-8.677,0.2478,0.3294,89.18,1.09,84.56,3.21,84.50,10.27,8.686,1.586,10.117,9.388,2.002,0.00,53.04,
2026-05-14 13:34:54.10,0.00:00:01:091,-1.00,0.02,0.04,10.29,-8.601,0.2113,0.3251,89.30,1.08,83.68,3.16,83.62,10.29,8.609,1.679,10.123,9.350,2.250,0.00,56.97,
2026-05-14 13:34:54.20,0.00:00:01:199,-1.00,0.02,0.04,10.25,-8.6,0.1663,0.3295,89.45,1.10,83.98,3.21,83.92,10.25,8.608,1.642,10.107,9.349,2.154,0.00,63.22,
2026-05-14 13:34:54.35,0.00:00:01:342,-1.00,0.02,0.04,10.22,-8.56,0.1786,0.3194,89.40,1.07,83.84,3.13,83.78,10.22,8.568,1.651,10.094,9.329,2.178,0.00,60.78,
2026-05-14 13:34:54.46,0.00:00:01:453,-1.00,-0.05,-0.06,6.495,-5.324,-0.2692,-0.2999,-88.55,-1.61,82.20,4.62,82.07,6.495,5.339,1.156,8.126,7.275,0.630,0.00,-131.92,
2026-05-14 13:34:54.66,0.00:00:01:659,-0.98,0.16,0.12,1.005,-0.8113,0.1358,0.09608,85.25,3.33,82.38,9.56,81.83,1.005,0.8281,0.1771,0.023,-0.819,-7.518,0.01,35.28,
